小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,17.9,东风,1,0,84,
22,16.8,北风,1,0,88,
23,15.9,西北风,1,0,92,
00,15.3,西南风,1,0,96,
01,14.9,东北风,1,0,98,
02,14.4,东北风,0,0,99,
03,13.9,东北风,1,0,99,
04,13.9,西南风,1,0,99,
05,13.5,东风,0,0,99,
06,13.8,东南风,1,0,99,
07,16.5,东风,1,0,99,
08,20.1,东北风,1,0,85,
09,23.5,东风,1,0,72,
10,26.5,东南风,2,0,55,
11,28.2,南风,2,0,53,
12,29.4,西南风,2,0,49,
13,29.8,西南风,2,0,47,
14,29.5,西南风,2,0,51,
15,29.3,西南风,3,0,52,
16,29.3,南风,3,0,52,
17,29.0,西南风,3,0,53,
18,27.7,西南风,2,0,58,
19,26.2,西南风,2,0,63,
20,25.7,西南风,2,0,64,
21,25.2,南风,1,0,68,
