小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,23.6,南风,2,0,35,63
22,22.7,南风,2,0,35,63
23,22.3,南风,2,0,34,59
00,21.4,南风,3,0,36,58
01,20.2,南风,2,0,41,53
02,19.3,南风,2,0,44,53
03,18.5,南风,3,0,48,56
04,17.8,南风,2,0,51,55
05,17.5,南风,2,0,58,48
06,18.1,南风,2,0,58,51
07,18.9,南风,3,0,56,59
08,21.4,南风,3,0,46,61
09,24.0,南风,3,0,36,65
10,26.0,南风,3,0,33,66
11,27.5,南风,3,0,31,67
12,29.5,南风,3,0,32,87
13,30.3,西南风,3,0,30,103
14,30.5,西南风,3,0,28,108
15,31.8,西南风,2,0,29,110
16,31.1,西南风,3,0,26,106
17,31.4,西南风,3,0,26,107
18,30.8,西南风,2,0,25,100
19,29.3,西风,2,0,27,72
20,28.7,西南风,2,0,29,61
21,28.4,西南风,2,0,28,63
