小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,18.9,南风,2,0,42,
23,17.9,东南风,2,0,47,
00,17.5,东南风,2,0,53,
01,16.5,东南风,2,0,61,
02,13.8,东南风,1,0,72,
03,13.6,西南风,1,0,73,
04,13.9,东南风,1,0,75,
05,12.5,北风,1,0,81,
06,12.7,东北风,1,0,83,
07,16.1,南风,1,0,69,
08,18.2,东南风,2,0,61,
09,20.3,南风,2,0,55,
10,22.7,南风,3,0,48,
11,25.3,南风,2,0,34,
12,26.8,南风,3,0,36,
13,28.2,西南风,3,0,35,
14,28.5,南风,4,0,35,
15,29.2,西南风,4,0,32,
16,29.3,西南风,3,0,30,
17,28.9,西南风,3,0,28,
18,27.6,南风,3,0,34,
19,26.3,南风,2,0,38,
20,24.5,南风,2,0,46,
21,23.4,东南风,2,0,49,
22,22.6,南风,2,0,49,
