小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,20.4,南风,3,0,41,
22,19.6,南风,3,0,48,
23,18.5,东南风,2,0,52,
00,18.3,南风,3,0,53,
01,17.6,南风,2,0,57,
02,17.3,南风,3,0,60,
03,16.5,南风,3,0,65,
04,15.8,南风,2,0,66,
05,15.0,南风,2,0,69,
06,15.8,南风,3,0,65,
07,17.9,东南风,2,0,60,
08,19.6,南风,2,0,54,
09,21.4,南风,3,0,49,
10,24.5,南风,2,0,37,
11,26.0,南风,3,0,38,
12,28.0,南风,3,0,35,
13,29.0,南风,4,0,34,
14,29.0,西南风,4,0,34,
15,29.9,南风,4,0,29,
16,29.2,南风,4,0,30,
17,28.5,南风,4,0,31,
18,27.5,南风,4,0,33,
19,26.3,南风,3,0,34,
20,25.1,南风,3,0,43,
21,24.7,南风,3,0,38,
