小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,16.3,南风,2,0,64,
23,15.5,南风,1,0,67,
00,15.5,南风,2,0,66,
01,15.3,南风,2,0,68,
02,14.9,东南风,1,0,71,
03,14.5,东南风,1,0,77,
04,14.7,南风,1,0,79,
05,14.8,西南风,2,0,79,
06,15.5,西风,2,0,74,
07,16.9,西南风,2,0,69,
08,18.1,南风,3,0,63,
09,18.2,南风,3,0,61,
10,19.0,南风,4,0.2,55,
11,19.4,南风,4,0,58,
12,19.2,南风,4,0,64,
13,18.7,南风,4,0,68,
14,18.1,南风,4,0,73,
15,17.9,南风,4,0,76,
16,17.7,南风,3,0,75,
17,17.1,南风,3,0,78,
18,16.7,南风,3,0,81,
19,16.3,南风,3,0,84,
20,16.1,南风,3,0,86,
21,16.0,南风,3,0,87,
22,15.9,南风,2,0,88,
