小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,18.4,西南风,3,0,51,
22,18.3,西南风,3,0,44,
23,18.1,南风,3,0,41,
00,16.6,南风,3,0,53,
01,15.8,南风,4,0,59,
02,15.3,南风,4,0,64,
03,15.0,南风,3,0,70,
04,14.7,南风,3,0,73,
05,14.5,南风,3,0,77,
06,15.1,西南风,3,0,76,
07,16.1,南风,4,0,71,
08,17.3,南风,4,0,63,
09,18.3,西南风,4,0,55,
10,19.3,南风,4,0,52,
11,18.8,南风,5,0,59,
12,18.1,南风,5,0,63,
13,18.4,南风,5,0,66,
14,18.3,南风,5,0,68,
15,18.0,南风,4,0,71,
16,16.9,南风,4,0,76,
17,16.4,南风,5,0,77,
18,16.0,南风,4,0,80,
19,15.6,南风,5,0,83,
20,15.6,西南风,2,0,84,
21,15.6,南风,3,0,85,
