小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,21.6,南风,3,0,42,
22,20.8,南风,3,0,45,
23,21.1,南风,3,0,46,
00,20.9,南风,4,0,48,
01,20.5,南风,4,0,49,
02,20.1,南风,4,0,53,
03,20.1,南风,4,0,55,
04,19.4,南风,4,0,57,
05,18.9,南风,4,0,59,
06,18.9,南风,4,0,56,
07,20.2,南风,4,0,52,
08,21.6,南风,4,0,50,
09,23.0,南风,4,0,49,
10,24.7,南风,4,0,49,
11,26.7,西南风,5,0,45,
12,27.3,西南风,5,0,43,
13,28.9,西南风,4,0,43,
14,29.4,南风,5,0,41,
15,30.1,西南风,4,0,35,
16,30.2,南风,4,0,34,
17,29.6,南风,5,0,33,
18,28.1,西南风,3,0,41,
19,27.3,南风,3,0,39,
20,26.0,西风,2,0,43,
21,25.8,西北风,2,0,49,
