小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,22.4,南风,2,0,35,
22,21.9,南风,2,0,32,
23,21.1,南风,2,0,38,
00,20.1,南风,3,0,44,
01,20.5,南风,3,0,45,
02,20.1,南风,3,0,48,
03,19.0,南风,3,0,53,
04,18.8,南风,3,0,56,
05,18.8,南风,3,0,57,
06,18.4,南风,3,0,59,
07,19.8,南风,3,0,51,
08,21.5,西南风,4,0,47,
09,22.7,西南风,4,0,48,
10,24.6,西南风,4,0,49,
11,25.9,西南风,4,0,47,
12,27.1,南风,4,0,47,
13,28.1,西南风,4,0,43,
14,28.7,西南风,4,0,42,
15,28.7,西南风,4,0,44,
16,29.5,南风,3,0,39,
17,28.9,南风,3,0,37,
18,28.0,西南风,3,0,38,
19,26.5,西风,1,0,44,
20,24.9,西风,1,0,51,
21,25.3,西风,3,0,48,
