小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,22.8,南风,2,0,39,
22,22.0,南风,2,0,44,
23,20.8,南风,2,0,50,
00,20.4,东南风,2,0,53,
01,19.2,东南风,1,0,58,
02,18.5,东风,1,0,61,
03,17.7,东南风,1,0,64,
04,17.6,东风,2,0,61,
05,17.2,东风,2,0,61,
06,17.5,东南风,2,0,60,
07,19.0,东南风,2,0,56,
08,20.8,东南风,2,0,53,
09,22.0,东南风,2,0,50,
10,24.1,东南风,2,0,50,
11,26.0,南风,2,0,46,
12,27.6,西南风,2,0,42,
13,28.6,南风,2,0,36,
14,29.0,西南风,3,0,37,
15,29.8,南风,2,0,35,
16,30.2,南风,2,0,28,
17,29.5,南风,3,0,29,
18,28.6,南风,3,0,34,
19,27.1,南风,2,0,39,
20,25.3,东北风,1,0,44,
21,25.5,东南风,1,0,44,
