小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,24.1,东南风,4,0,26,56
22,23.6,南风,4,0,32,64
23,22.7,南风,4,0,38,65
00,22.0,南风,5,0,39,65
01,21.7,南风,5,0,41,55
02,21.1,南风,4,0,45,58
03,20.8,南风,4,0,44,51
04,20.5,南风,5,0,40,53
05,20.7,南风,4,0,35,52
06,20.7,东南风,4,0,36,46
07,22.2,南风,3,0,38,52
08,23.8,南风,3,0,41,62
09,25.1,南风,3,0,40,64
10,26.7,南风,3,0,37,63
11,27.8,南风,4,0,31,71
12,28.7,南风,5,0,25,77
13,29.8,南风,4,0,25,83
14,30.0,西南风,4,0,25,87
15,30.2,西南风,4,0,28,87
16,29.3,南风,5,0,30,92
17,29.3,南风,4,0,28,89
18,28.6,南风,4,0,28,78
19,27.6,南风,4,0,32,73
20,27.1,南风,4,0,34,70
21,27.0,南风,3,0,36,67
