小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,23.5,西风,2,0,42,56
22,22.2,东风,2,0,47,60
23,21.4,东南风,2,0,53,60
00,20.5,东南风,2,0,58,55
01,19.7,东南风,2,0,61,55
02,19.6,东南风,2,0,61,52
03,19.0,东南风,2,0,63,53
04,17.7,东南风,1,0,66,51
05,17.4,东南风,2,0,65,51
06,17.2,东南风,2,0,66,50
07,18.4,东南风,2,0,63,51
08,20.8,东南风,2,0,60,53
09,22.9,东南风,2,0,53,58
10,24.6,东南风,2,0,50,56
11,26.1,东风,2,0,49,59
12,27.9,西风,2,0,42,61
13,29.3,西风,2,0,31,65
14,30.5,南风,2,0,28,80
15,30.5,西风,2,0,25,84
16,30.4,南风,2,0,27,85
17,29.8,西南风,2,0,31,81
18,29.2,东风,2,0,33,78
19,28.0,西北风,2,0,37,88
20,27.2,北风,2,0,39,86
21,26.2,东北风,1,0,41,
