小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,20.0,南风,2,0,52,
22,18.5,东南风,1,0,57,
23,17.7,东南风,2,0,65,
00,17.2,东南风,2,0,71,
01,17.1,东南风,2,0,72,
02,16.2,东南风,1,0,74,
03,15.7,东南风,2,0,75,
04,15.4,东南风,2,0,75,
05,15.1,东南风,2,0,75,
06,15.7,东南风,2,0,73,
07,17.7,东南风,2,0,68,
08,19.4,东南风,3,0,62,
09,21.7,南风,3,0,58,
10,24.6,南风,3,0,53,
11,27.2,南风,4,0,41,
12,28.9,南风,4,0,36,
13,29.9,西南风,4,0,30,
14,30.7,南风,4,0,29,
15,30.4,西南风,4,0,28,
16,30.1,南风,4,0,30,
17,29.6,南风,3,0,34,
18,28.5,南风,3,0,36,
19,26.3,南风,2,0,41,
20,24.9,南风,2,0,44,
21,23.9,南风,2,0,48,
