小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,23.8,西南风,1,0,40,
22,23.5,南风,1,0,34,
23,22.1,东南风,1,0,37,
00,20.5,东南风,2,0,42,
01,19.9,南风,1,0,43,
02,20.9,南风,2,0,44,
03,20.0,西南风,2,0,50,
04,19.6,南风,2,0,53,
05,19.4,南风,2,0,55,
06,18.5,南风,2,0,62,
07,20.6,南风,2,0,52,
08,22.3,西南风,3,0,45,
09,24.2,西南风,2,0,42,
10,25.8,西南风,4,0,42,
11,27.0,西南风,3,0,44,
12,29.0,西南风,3,0,41,
13,29.6,西南风,4,0,38,
14,30.2,西南风,4,0,35,
15,30.7,西南风,3,0,32,
16,30.7,西南风,4,0,27,
17,30.3,西南风,3,0,30,
18,29.3,西南风,2,0,35,
19,28.0,西风,1,0,40,
20,26.6,西风,1,0,46,
21,26.8,西风,2,0,43,
