小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,22.0,东南风,2,0,46,64
22,20.8,南风,2,0,49,59
23,20.6,南风,3,0,45,55
00,20.3,南风,2,0,47,55
01,19.6,南风,2,0,51,57
02,19.2,南风,2,0,53,57
03,18.8,南风,2,0,54,57
04,19.2,南风,2,0,51,59
05,18.4,南风,2,0,54,62
06,18.1,南风,2,0,57,59
07,19.0,南风,3,0,55,63
08,20.6,南风,3,0,50,65
09,22.7,南风,3,0,44,73
10,24.9,西南风,3,0,35,62
11,26.7,南风,3,0,28,58
12,27.7,南风,4,0,25,63
13,29.1,南风,3,0,27,74
14,29.5,西南风,3,0,28,87
15,30.0,南风,3,0,29,102
16,30.3,南风,3,0,31,109
17,27.4,东南风,3,0,44,112
18,26.3,东南风,3,0,48,107
19,24.6,东南风,3,0,56,94
20,23.5,南风,3,0,61,70
21,22.5,东南风,2,0,65,
