小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,19.0,南风,3,0,53,
22,17.9,南风,3,0,58,
23,17.3,南风,3,0,61,
00,17.2,南风,2,0,61,
01,16.6,南风,3,0,65,
02,15.8,南风,3,0,69,
03,15.6,南风,3,0,73,
04,15.6,南风,3,0,75,
05,15.0,东南风,2,0,79,
06,15.6,南风,3,0,76,
07,17.4,南风,3,0,69,
08,19.5,南风,3,0,59,
09,21.6,南风,3,0,51,
10,23.2,南风,4,0,43,
11,25.0,南风,3,0,35,
12,26.1,南风,3,0,29,
13,26.3,南风,4,0,35,
14,26.0,东南风,4,0,37,
15,25.5,东南风,3,0,40,
16,25.9,南风,3,0,42,
17,24.9,南风,4,0,48,
18,22.9,东南风,3,0,58,
19,21.0,东南风,3,0,65,
20,20.2,东南风,3,0,67,
21,19.7,南风,3,0,68,
