小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,18.0,南风,4,0,52,
22,17.0,南风,4,0,59,
23,16.3,南风,4,0,62,
00,15.4,南风,4,0,67,
01,14.6,南风,3,0,72,
02,13.6,南风,3,0,76,
03,13.1,南风,3,0,78,
04,12.9,南风,3,0,80,
05,12.6,南风,2,0,84,
06,13.2,南风,3,0,83,
07,15.6,南风,4,0,74,
08,18.0,南风,5,0,62,
09,20.5,南风,4,0,52,
10,22.3,南风,4,0,49,
11,23.8,南风,4,0,38,
12,25.0,南风,5,0,35,
13,25.1,南风,5,0,31,
14,25.6,南风,5,0,26,
15,24.7,南风,5,0,31,
16,23.4,南风,4,0,49,
17,22.3,东南风,4,0,53,
18,20.6,东南风,4,0,60,
19,19.1,东南风,3,0,66,
20,17.6,南风,3,0,74,
21,16.8,南风,3,0,80,
