小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,20.9,南风,4,0,27,
22,19.6,南风,4,0,41,
23,18.7,南风,4,0,47,
00,18.0,南风,4,0,51,
01,17.2,南风,4,0,55,
02,16.4,南风,4,0,59,
03,15.9,南风,4,0,62,
04,15.6,南风,4,0,64,
05,15.2,南风,4,0,67,
06,15.5,南风,4,0,69,
07,17.6,南风,4,0,60,
08,19.4,南风,4,0,52,
09,21.3,南风,4,0,45,
10,23.9,南风,4,0,34,
11,25.4,南风,4,0,28,
12,27.0,南风,4,0,23,
13,27.1,南风,4,0,24,
14,27.0,南风,4,0,26,
15,25.9,南风,4,0,33,
16,24.9,南风,4,0,37,
17,24.2,南风,4,0,36,
18,22.3,南风,4,0,44,
19,20.8,南风,4,0,53,
20,19.9,南风,4,0,63,
21,19.5,南风,4,0,68,
