小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,17.2,南风,3,0,60,
22,16.8,南风,3,0,61,
23,16.5,南风,4,0,62,
00,16.1,南风,4,0,65,
01,16.0,南风,3,0,68,
02,15.5,南风,4,0,75,
03,15.4,南风,4,0,79,
04,15.3,南风,3,0,79,
05,15.1,南风,4,0,76,
06,15.3,南风,3,0,76,
07,16.9,南风,3,0,68,
08,18.6,南风,4,0,58,
09,20.5,南风,3,0,52,
10,22.1,南风,4,0,46,
11,23.0,东南风,4,0,43,
12,23.8,南风,4,0,45,
13,23.2,东南风,4,0,43,
14,22.8,南风,5,0,44,
15,23.3,南风,4,0,46,
16,22.9,南风,4,0,52,
17,21.8,南风,4,0,60,
18,20.7,南风,4,0,65,
19,19.5,南风,4,0,70,
20,19.0,南风,4,0,73,
21,18.3,东南风,3,0,75,
