小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,22.2,南风,1,0,53,
22,20.4,南风,1,0,59,
23,19.9,东北风,1,0,62,
00,18.8,东风,1,0,68,
01,17.3,东北风,1,0,73,
02,16.6,东北风,2,0,75,
03,16.2,东北风,2,0,77,
04,15.6,东风,2,0,79,
05,14.7,东北风,2,0,82,
06,14.4,东风,2,0,83,
07,15.7,东风,2,0,77,
08,19.2,东风,2,0,65,
09,22.2,西南风,1,0,56,
10,23.8,西南风,2,0,49,
11,25.1,西南风,3,0,41,
12,26.7,南风,2,0,39,
13,28.0,西南风,2,0,37,
14,27.9,北风,2,0,36,
15,29.6,西风,2,0,34,
16,25.5,北风,4,0,39,
17,24.4,东北风,3,0,35,
18,24.4,东北风,1,0,36,
19,24.1,东北风,1,0,39,
20,23.1,东北风,2,0,30,
21,23.3,北风,2,0,28,
