小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,24.8,东南风,3,0,45,
22,23.9,东风,2,0,47,
23,23.2,东北风,2,0,49,
00,22.0,东南风,3,0,53,
01,20.8,北风,2,0,58,
02,21.9,南风,3,0,53,
03,20.9,南风,2,0,56,
04,19.9,东南风,2,0,61,
05,18.2,东风,1,0,67,
06,16.3,东风,2,0,78,
07,18.6,东风,2,0,68,
08,21.5,东风,1,0,59,
09,24.6,东风,1,0,50,
10,26.2,南风,2,0,46,
11,27.5,西南风,2,0,43,
12,28.4,西风,2,0,41,
13,29.4,西南风,3,0,37,
14,30.3,西南风,2,0,34,
15,31.0,西南风,3,0,32,
16,30.7,南风,3,0,36,
17,30.2,南风,4,0,36,
18,28.8,西南风,3,0,39,
19,24.7,西北风,2,0,55,
20,23.5,东北风,1,0,60,
21,22.8,东南风,1,0,68,
