小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,20.2,东南风,1,0,47,
22,19.2,北风,1,0,50,
23,18.0,南风,1,0,54,
00,16.2,西南风,1,0,62,
01,15.4,东风,1,0,66,
02,15.0,东风,1,0,67,
03,14.3,东北风,2,0,70,
04,13.8,东风,2,0,71,
05,13.1,西风,1,0,76,
06,12.7,东风,1,0,80,
07,13.8,西风,2,0,77,
08,16.9,东北风,2,0,68,
09,21.0,东南风,3,0,57,
10,23.1,东南风,4,0,50,
11,24.0,东南风,3,0,46,
12,24.3,南风,4,0,43,
13,22.4,西南风,4,0,47,
14,22.0,西南风,3,0,37,
15,21.7,西风,5,0,42,
16,18.8,南风,2,0,49,
17,21.1,西南风,4,0,40,
18,21.3,西南风,3,0,33,
19,20.1,西南风,3,0,34,
20,16.9,西风,4,0,42,
21,15.2,西北风,4,0,30,
