小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,21.1,西南风,2,0,49,
22,20.4,南风,1,0,50,
23,18.1,西风,1,0,59,
00,16.4,西北风,1,0,66,
01,16.4,南风,1,0,66,
02,16.3,西风,2,0,69,
03,16.0,东风,1,0,71,
04,15.4,南风,1,0,73,
05,14.2,东北风,2,0,80,
06,15.0,西北风,1,0,77,
07,17.8,东南风,1,0,69,
08,20.0,西南风,2,0,59,
09,21.6,南风,3,0,55,
10,23.4,南风,2,0,50,
11,25.2,南风,2,0,45,
12,27.0,南风,2,0,41,
13,28.2,西南风,3,0,38,
14,27.2,西风,2,0.1,45,
15,23.5,西南风,4,0,55,
16,22.8,东风,2,0,60,
17,23.9,西南风,2,0,54,
18,24.2,西风,4,0,32,
19,23.4,西风,3,0,35,
20,21.5,北风,2,0,42,
21,18.8,北风,3,0,41,
