小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,17.1,东南风,3,0.0,38,
22,17.2,西北风,2,0.0,63,
23,16.6,西北风,2,0.0,66,
00,16.0,西北风,2,0.0,70,
01,15.8,西北风,2,0.0,75,
02,15.1,西北风,1,0.0,78,
03,14.7,西北风,2,0.0,81,
04,15.5,东风,0,0.0,73,
05,13.4,西北风,2,0.0,89,
06,13.3,西北风,1,0.0,90,
07,14.5,北风,1,0.0,81,
08,16.1,南风,1,0.0,69,
09,19.5,东风,2,0.0,49,
10,21.5,东南风,1,0.0,41,
11,23.0,南风,2,0.0,36,
12,24.0,东南风,1,0.0,32,
13,25.7,东风,1,0.3,28,
14,16.6,西北风,1,1.8,76,
15,16.6,西北风,1,0.2,76,
16,18.9,东南风,1,0.0,61,
17,20.0,东南风,3,0.0,51,
18,19.3,东南风,3,0.0,38,
19,18.8,东风,2,0.0,36,
20,17.1,东南风,3,0.0,38,
21,17.1,东南风,3,0.0,38,
