小时,温度,风力方向,风级,降水量,相对湿度,空气质量
20,25.5,西南风,3,0,39,
21,24.6,西南风,3,0,42,
22,23.9,西南风,3,0,47,
23,23.3,西南风,3,0,50,
00,22.3,西风,2,0,53,
01,21.7,西南风,2,0,56,
02,20.5,西南风,2,0,59,
03,18.3,东南风,1,0,65,
04,18.2,东南风,2,0,65,
05,15.5,北风,1,0,79,
06,15.1,西南风,1,0,81,
07,17.6,东北风,1,0,75,
08,21.9,东北风,1,0,57,
09,23.9,西南风,3,0,48,
10,25.6,西风,3,0,43,
11,26.6,西南风,3,0,40,
12,27.5,西风,3,0,37,
13,28.7,西南风,3,0,35,
14,30.1,西风,3,0,33,
15,29.8,西风,3,0,31,
16,24.7,西北风,5,0,39,
17,24.5,东风,2,0,46,
18,25.7,东南风,2,0,37,
19,24.8,西风,2,0,35,
20,23.8,西北风,3,0,34,
