小时,温度,风力方向,风级,降水量,相对湿度,空气质量
20,22.1,南风,2,0,51,
21,19.8,南风,1,0,64,
22,20.5,东南风,1,0,58,
23,21.4,西南风,2,0,52,
00,20.8,西南风,2,0,54,
01,18.2,东风,1,0,65,
02,16.4,东北风,1,0,74,
03,15.1,东风,1,0,87,
04,14.2,南风,1,0,90,
05,13.7,东风,1,0,94,
06,14.0,东南风,1,0,93,
07,16.1,东南风,1,0,84,
08,20.2,东北风,1,0,68,
09,22.2,西南风,2,0,55,
10,23.9,西风,3,0,49,
11,25.4,西风,3,0,42,
12,27.1,西风,4,0,38,
13,28.1,西风,3,0,35,
14,29.3,西风,3,0,32,
15,25.8,西北风,3,0,42,
16,20.7,西风,2,2.1,76,
17,20.9,西南风,2,0,69,
18,22.2,西南风,1,0,61,
19,21.9,西风,2,0,62,
20,22.6,北风,2,0,38,
