小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,22.2,南风,3,0,38,
22,20.6,西南风,2,0,43,
23,20.6,西南风,2,0,45,
00,19.7,南风,2,0,51,
01,19.0,南风,2,0,57,
02,18.7,西风,3,0,59,
03,18.0,西南风,2,0,63,
04,17.5,南风,3,0,65,
05,17.4,南风,4,0,64,
06,17.4,东南风,3,0,63,
07,18.9,南风,3,0,59,
08,20.6,南风,2,0,54,
09,22.7,南风,1,0,48,
10,24.0,西北风,2,0,45,
11,26.1,西风,3,0,40,
12,27.5,西风,2,0,35,
13,27.7,北风,3,0,33,
14,30.1,西北风,2,0,27,
15,30.1,西风,4,0,27,
16,25.2,北风,7,0,43,
17,20.5,西北风,3,0,59,
18,21.1,南风,1,0,55,
19,20.8,东北风,1,0,60,
20,19.8,东风,2,0,62,
21,19.5,东北风,2,0,62,
