小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,17.8,东北风,2,0,60,
22,16.1,北风,1,0,70,
23,15.1,北风,1,0,76,
00,14.0,北风,2,0,80,
01,13.3,北风,1,0,81,
02,12.5,北风,2,0,84,
03,13.4,西北风,2,0,79,
04,12.8,西北风,2,0,81,
05,12.0,西北风,2,0,83,
06,12.1,西北风,2,0,84,
07,13.2,西北风,2,0,80,
08,16.2,西北风,2,0,70,
09,20.4,东南风,2,0,57,
10,23.4,东南风,2,0,50,
11,25.6,东南风,2,0,42,
12,25.2,西北风,3,0,41,
13,26.2,西南风,3,0,40,
14,27.0,西北风,3,0,36,
15,27.6,西北风,3,0,33,
16,27.2,西风,3,0,37,
17,27.5,西南风,3,0,37,
18,27.0,西北风,3,0,38,
19,24.4,北风,4,0,43,
20,18.5,西北风,2,0.8,78,
21,17.8,北风,2,0,82,
