小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,22.9,东南风,2,0,51,
22,21.9,东南风,2,0,50,
23,21.2,东风,2,0,52,
00,20.7,东南风,2,0,55,
01,20.0,东风,2,0,57,
02,19.4,东南风,2,0,60,
03,18.3,东南风,1,0,64,
04,16.8,西风,2,0,71,
05,15.4,西南风,1,0,75,
06,15.2,西风,1,0,76,
07,16.4,西南风,1,0,73,
08,19.3,南风,1,0,65,
09,21.5,东风,2,0,57,
10,23.8,东南风,2,0,52,
11,25.2,东北风,2,0,48,
12,27.1,东北风,2,0,41,
13,27.7,西南风,2,0,40,
14,26.8,东风,2,0,45,
15,27.8,南风,2,0,43,
16,27.7,东南风,2,0,43,
17,28.6,东南风,2,0,40,
18,29.0,东北风,1,0,37,
19,27.4,东北风,2,0,46,
20,25.0,西北风,3,0,44,
21,23.0,西风,2,0,54,
