小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,23.1,东风,2,0,58,
22,22.8,东风,2,0,56,
23,22.3,东风,1,0,58,
00,20.4,东北风,1,0,66,
01,19.4,东北风,2,0,71,
02,19.3,东北风,2,0,72,
03,18.7,北风,2,0,75,
04,18.8,东北风,2,0,74,
05,18.5,北风,2,0,75,
06,18.8,东北风,1,0,73,
07,21.7,东北风,2,0,66,
08,24.0,东北风,2,0,59,
09,25.5,东风,1,0,52,
10,26.8,东南风,1,0,49,
11,27.3,南风,2,0,46,
12,28.3,西风,2,0,40,
13,29.3,西南风,3,0,39,
14,29.9,西风,3,0,37,
15,30.2,西南风,3,0,32,
16,30.3,西南风,2,0,33,
17,30.2,西南风,2,0,34,
18,26.9,北风,4,0,37,
19,24.2,北风,2,0,48,
20,24.1,西北风,2,0,49,
21,21.6,西风,1,0,72,
