小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,23.4,东南风,2,0,55,
22,22.9,东南风,2,0,56,
23,22.3,东南风,2,0,58,
00,21.5,东南风,2,0,59,
01,21.0,东南风,1,0,61,
02,20.6,东北风,1,0,62,
03,20.2,东风,1,0,64,
04,19.8,东北风,2,0,64,
05,19.1,东北风,1,0,67,
06,19.3,东南风,1,0,67,
07,20.8,东南风,1,0,67,
08,22.4,东风,1,0,61,
09,23.7,东南风,2,0,60,
10,24.2,西风,2,0,54,
11,25.7,西南风,2,0,50,
12,27.4,南风,2,0,49,
13,27.8,西风,2,0,46,
14,28.6,西风,2,0,41,
15,28.6,西北风,2,0,38,
16,29.7,西北风,2,0,35,
17,29.9,西北风,2,0,37,
18,28.7,西风,2,0,43,
19,27.0,北风,2,0,46,
20,25.5,北风,3,0,44,
21,24.4,北风,2,0,47,
