小时,温度,风力方向,风级,降水量,相对湿度,空气质量
20,27.0,南风,2,0,43,
21,25.8,东南风,2,0,46,
22,23.3,东北风,2,0,56,
23,23.5,东北风,2,0,54,
00,23.5,南风,1,0,53,
01,22.8,东南风,1,0,56,
02,22.2,东南风,2,0,59,
03,21.5,东风,1,0,62,
04,19.7,北风,2,0,69,
05,19.0,东北风,1,0,73,
06,18.1,东风,2,0,76,
07,21.1,东风,2,0,64,
08,23.6,东风,2,0,54,
09,25.2,东南风,2,0,52,
10,26.4,南风,1,0,48,
11,27.7,西南风,3,0,42,
12,28.6,西风,3,0,41,
13,30.6,西北风,2,0,34,
14,31.7,西风,3,0,33,
15,31.1,西风,3,0,34,
16,31.8,西南风,3,0,34,
17,31.0,西风,4,0,35,
18,26.4,东风,2,0,39,
19,26.2,东南风,2,0,40,
20,24.9,西风,2,0,49,
