小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,19.0,南风,2,0,55,
22,18.9,南风,2,0,54,
23,18.3,南风,2,0,59,
00,17.4,南风,2,0,64,
01,16.6,东南风,2,0,68,
02,15.7,东风,2,0,74,
03,15.2,东风,2,0,74,
04,14.6,东南风,2,0,75,
05,13.8,东风,2,0,79,
06,13.5,东南风,2,0,80,
07,15.0,东风,2,0,76,
08,16.9,东南风,1,0,70,
09,19.2,西北风,1,0,65,
10,20.8,南风,2,0,59,
11,22.8,南风,2,0,51,
12,24.7,东南风,2,0,44,
13,26.0,南风,2,0,42,
14,26.9,南风,2,0,39,
15,27.5,西南风,2,0,39,
16,27.2,西风,3,0,38,
17,26.9,西北风,4,0,35,
18,21.5,北风,4,0,48,
19,21.1,西北风,2,0,49,
20,20.6,西北风,2,0,50,
21,20.5,北风,3,0,43,
