小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,19.9,西北风,2,0,83,70
22,19.1,东北风,1,0,93,73
23,17.6,西北风,2,0,99,68
00,17.2,西北风,2,0,99,71
01,16.3,西北风,2,0,99,73
02,15.6,西北风,1,0,99,81
03,15.6,西风,2,0,99,87
04,14.9,东风,1,0,99,76
05,15.5,西南风,2,0,92,75
06,15.3,西风,1,0,89,67
07,17.2,南风,1,0,85,71
08,20.4,南风,2,0,72,67
09,23.4,西南风,3,0,57,65
10,25.1,西南风,3,0,47,58
11,26.6,西南风,3,0,40,51
12,28.3,西南风,3,0,35,47
13,29.7,西南风,3,0,33,54
14,30.5,西南风,4,0,30,63
15,31.4,西南风,3,0,27,58
16,18.0,西北风,5,2.3,94,118
17,18.6,北风,2,1.3,98,66
18,20.3,北风,1,0,93,54
19,20.0,西南风,1,0,93,57
20,19.7,西北风,3,0,84,62
21,19.3,西北风,2,0,76,
