小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,23.1,南风,0,0,95,
22,22.9,东北风,1,0,96,
23,22.5,东风,1,0,95,
00,22.1,东北风,1,0,97,
01,22.0,东南风,1,0,97,
02,21.9,东风,1,0,97,
03,21.8,东南风,1,0,97,
04,21.6,东北风,1,0,97,
05,21.6,东北风,1,0,97,
06,21.9,东南风,1,0,97,
07,22.3,东风,1,0.1,97,
08,23.8,东风,2,0,87,
09,24.8,东风,2,0,82,
10,25.7,东风,2,0,80,
11,25.5,东风,2,0,79,
12,26.3,东风,2,0.1,73,
13,25.6,东风,2,0,76,
14,25.2,东风,2,0,76,
15,25.8,东风,2,0,74,
16,26.5,东风,2,0,75,
17,26.4,东风,2,0,75,
18,25.9,东风,3,0,77,
19,25.3,东风,2,0,80,
20,25.2,东风,2,0,81,
21,24.9,东南风,1,0,82,
