小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,24.8,北风,2,0,81,
22,24.5,北风,1,0,82,
23,24.6,北风,2,0,80,
00,24.3,北风,1,0,87,
01,24.0,西北风,1,0,90,
02,24.0,西北风,1,0,87,
03,23.8,西北风,1,0,89,
04,23.7,西北风,1,0,87,
05,23.7,西北风,1,0,87,
06,23.8,北风,1,0,83,
07,24.1,东北风,1,0,81,
08,24.7,东北风,1,0,79,
09,25.8,东风,2,0,62,
10,26.4,东风,2,0,59,
11,26.3,东风,2,0,62,
12,26.9,东南风,2,0,63,
13,27.5,东南风,2,0,66,
14,27.9,东南风,1,0,63,
15,27.8,南风,2,0,64,
16,27.9,东南风,2,0,66,
17,28.0,东南风,2,0,66,
18,27.7,东南风,2,0,67,
19,27.6,东南风,2,0,68,
20,27.5,东南风,2,0,68,
21,26.6,东南风,2,0,74,
