小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,24.5,西风,1,0,79,
22,24.8,南风,2,0,75,
23,24.2,东风,1,0,84,
00,23.7,西南风,1,0,88,
01,23.4,西风,1,0,88,
02,23.2,西风,0,0,89,
03,23.1,西风,0,0,90,
04,22.6,东南风,1,0,79,
05,22.1,西北风,1,0,87,
06,21.8,东北风,1,0,86,
07,22.4,北风,1,0,85,
08,23.7,北风,1,0,80,
09,25.5,东北风,1,0,66,
10,26.3,东南风,1,0,62,
11,27.4,东南风,2,0,56,
12,27.5,东南风,2,0,57,
13,28.2,东南风,2,0,56,
14,28.7,东南风,2,0,58,
15,29.3,东风,2,0,58,
16,28.8,东南风,2,0,59,
17,28.5,东风,2,0,64,
18,28.3,东南风,1,0,65,
19,27.6,东南风,2,0,66,
20,26.8,东南风,2,0,71,
21,26.6,东南风,2,0,72,
