小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,27.2,北风,1,0.0,69,51
22,26.5,东北风,1,0.0,66,51
23,26.7,西北风,1,0.0,61,50
00,26.4,西北风,1,0.0,53,49
01,26.2,西北风,1,0.0,50,51
02,25.9,西北风,1,0.0,52,50
03,25.4,西北风,1,0.0,53,48
04,25.4,北风,1,0.0,55,49
05,25.2,西北风,1,0.0,55,49
06,25.0,北风,1,0.0,55,51
07,25.3,西北风,1,0.0,55,51
08,25.1,西北风,1,0.0,57,51
09,25.7,北风,1,0.0,56,52
10,26.6,北风,1,0.0,56,52
11,26.8,西北风,1,0.0,57,53
12,28.1,西北风,1,0.0,56,54
13,28.6,西北风,1,0.0,57,69
14,28.7,西北风,2,0.0,61,84
15,28.7,西北风,2,0.0,61,75
16,28.6,西北风,1,0.0,62,63
17,28.4,西北风,1,0.0,63,49
18,28.2,西风,1,0.0,64,45
19,27.8,西北风,1,0.0,67,47
20,27.2,北风,1,0.0,69,46
21,27.2,北风,1,0.0,69,
