小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,23.5,东南风,3,0,72,50
22,23.8,东南风,1,0,69,48
23,23.6,南风,1,0,68,48
00,23.6,东南风,1,0,66,46
01,23.6,东南风,2,0,62,46
02,23.1,东南风,2,0,62,46
03,23.0,东南风,1,0,63,45
04,23.0,东南风,2,0,62,44
05,22.8,东南风,2,0,64,44
06,22.5,东风,2,0,70,47
07,22.3,东风,2,0,73,48
08,22.8,东南风,2,0,71,50
09,24.0,东南风,2,0,68,49
10,24.5,东南风,2,0,63,49
11,26.0,东南风,2,0,60,45
12,26.7,东南风,2,0,61,46
13,27.4,东南风,3,0,61,46
14,28.1,东南风,2,0,62,44
15,28.8,东风,2,0,59,43
16,28.3,东南风,3,0,62,43
17,27.6,东南风,3,0,65,42
18,27.1,东南风,3,0,68,40
19,26.2,东南风,3,0,70,39
20,25.8,东南风,3,0,68,38
21,25.4,东南风,3,0,68,38
