小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,23.5,东南风,3,0,72,
22,23.8,东南风,1,0,69,
23,23.6,南风,1,0,68,
00,23.6,东南风,1,0,66,
01,23.6,东南风,2,0,62,
02,23.1,东南风,2,0,62,
03,23.0,东南风,1,0,63,
04,23.0,东南风,2,0,62,
05,22.8,东南风,2,0,64,
06,22.5,东风,2,0,70,
07,22.3,东风,2,0,73,
08,22.8,东南风,2,0,71,
09,24.0,东南风,2,0,68,
10,24.5,东南风,2,0,63,
11,26.0,东南风,2,0,60,
12,26.7,东南风,2,0,61,
13,27.4,东南风,3,0,61,
14,28.1,东南风,2,0,62,
15,28.8,东风,2,0,59,
16,28.3,东南风,3,0,62,
17,27.6,东南风,3,0,65,
18,27.1,东南风,3,0,68,
19,26.2,东南风,3,0,70,
20,25.8,东南风,3,0,68,
21,25.4,东南风,3,0,68,
