小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,25.5,东南风,1,0,71,
22,24.8,南风,1,0,75,
23,24.6,西南风,1,0,76,
00,24.8,西风,1,0,75,
01,25.0,东风,2,0,73,
02,24.7,北风,1,0,75,
03,24.6,北风,1,0,76,
04,24.3,北风,1,0,78,
05,23.9,北风,1,0,79,
06,24.0,北风,1,0,77,
07,24.0,北风,1,0,78,
08,24.6,北风,1,0,77,
09,25.1,西北风,1,0,75,
10,25.6,西北风,1,0,74,
11,26.4,东北风,1,0,72,
12,27.8,东北风,1,0,69,
13,27.1,西风,1,0,71,
14,26.8,东北风,2,0,71,
15,27.3,西北风,1,0,72,
16,27.6,东南风,2,0,69,
17,27.2,东南风,2,0,70,
18,26.7,东南风,2,0,73,
19,26.2,东南风,2,0,75,
20,26.0,东风,1,0,75,
21,25.8,东北风,1,0,77,
