小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,25.8,东南风,2,0,74,
22,25.8,东风,2,0,65,
23,25.7,东风,2,0,59,
00,25.1,东风,2,0,63,
01,25.1,东风,2,0,61,
02,25.0,东北风,1,0,62,
03,24.9,东北风,2,0,64,
04,24.6,东风,2,0,68,
05,24.6,东北风,2,0,69,
06,24.6,东北风,1,0,70,
07,24.7,东北风,1,0,70,
08,25.0,东风,2,0,70,
09,25.4,东风,2,0,71,
10,25.6,东风,2,0,71,
11,25.9,东风,2,0,72,
12,26.7,东风,2,0,71,
13,27.2,东南风,2,0,70,
14,27.3,东南风,2,0,71,
15,27.3,东南风,2,0,71,
16,27.3,东南风,2,0,71,
17,27.2,南风,3,0,71,
18,26.5,东南风,3,0,75,
19,26.2,东南风,2,0,76,
20,25.9,东南风,2,0,77,
21,25.9,东南风,2,0,77,
