小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,20.3,西风,2,0,90,
22,20.1,西风,1,0,93,
23,20.1,东北风,1,0,94,
00,20.0,东南风,0,0,93,
01,19.8,西风,1,0,94,
02,19.6,北风,1,0,95,
03,19.5,西北风,1,0,96,
04,19.3,东北风,1,0,96,
05,19.3,北风,1,0,95,
06,19.5,西南风,1,0,94,
07,20.2,西风,1,0,94,
08,21.7,北风,1,0,87,
09,25.1,西风,1,0,73,
10,26.0,南风,3,0,61,
11,26.4,西南风,2,0,58,
12,26.6,西南风,3,0,64,
13,26.5,西南风,3,0,64,
14,27.0,西南风,3,0,65,
15,27.1,西南风,3,0,64,
16,27.3,西南风,2,0,64,
17,26.8,西南风,3,0,64,
18,26.1,南风,2,0,66,
19,25.4,西南风,2,0,69,
20,23.9,东北风,2,0,81,
21,23.3,西风,1,0,83,
