小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,22.9,东风,2,0,84,
22,22.6,西北风,1,0,88,
23,22.3,西南风,0,0,90,
00,22.1,东南风,1,0,90,
01,21.9,东南风,1,0,91,
02,21.6,西南风,1,0,92,
03,21.3,西北风,1,0,96,
04,20.9,西风,1,0,96,
05,20.7,南风,1,0,97,
06,20.6,东风,1,0,97,
07,20.8,北风,1,0,97,
08,22.3,东风,1,0,89,
09,24.4,西南风,1,0,75,
10,25.5,东北风,2,0,66,
11,27.6,东南风,1,0,54,
12,28.8,东南风,2,0,47,
13,29.0,西风,2,0,53,
14,29.7,西北风,2,0,57,
15,28.9,西风,1,0,57,
16,29.4,西风,1,0,51,
17,29.8,北风,1,0,50,
18,28.0,东风,2,0,54,
19,26.4,东南风,2,0,52,
20,25.8,东南风,3,0,61,
21,25.6,东南风,2,0,62,
