小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,22.0,东北风,2,0,83,
22,21.8,东北风,2,0,85,
23,21.6,东风,1,0,87,
00,21.7,东北风,1,0,86,
01,21.3,西风,1,0,92,
02,21.5,东北风,1,0,90,
03,21.4,北风,1,0,93,
04,21.1,西北风,1,0,95,
05,21.1,西风,1,0,93,
06,21.1,东风,1,0,93,
07,21.7,东北风,1,0,92,
08,23.2,东北风,1,0,87,
09,25.3,西北风,1,0,74,
10,26.1,西风,1,0,63,
11,27.8,南风,2,0,62,
12,27.1,西南风,2,0,63,
13,27.0,西南风,2,0,64,
14,27.4,西南风,2,0,63,
15,27.4,南风,2,0,62,
16,27.0,西南风,1,0,64,
17,27.2,西风,1,0,64,
18,27.0,西北风,1,0,66,
19,25.8,西风,1,0,74,
20,24.8,西风,2,0,82,
21,24.8,东南风,1,0,80,
