小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,22.4,南风,1,0,84,
23,22.4,东南风,1,0,84,
00,22.1,南风,1,0,86,
01,21.9,东南风,1,0,86,
02,21.6,东南风,1,0,90,
03,21.5,东风,1,0,90,
04,21.1,南风,1,0,91,
05,20.9,西南风,1,0,93,
06,20.9,南风,1,0,92,
07,21.3,南风,1,0,91,
08,23.8,东风,1,0,81,
09,25.1,北风,1,0,74,
10,25.2,东南风,1,0,68,
11,26.4,南风,1,0,64,
12,26.2,东风,1,0,65,
13,26.4,东风,1,0,64,
14,26.8,东北风,1,0,67,
15,27.4,东风,1,0,65,
16,27.1,南风,1,0,68,
17,26.7,西南风,1,0,70,
18,26.3,西南风,1,0,71,
19,25.7,东风,1,0,74,
20,25.4,西北风,1,0,77,
21,24.9,南风,1,0,81,
22,24.8,东南风,1,0,84,
