小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,21.5,西北风,1,0,92,
22,21.4,东风,1,0,92,
23,21.1,西北风,1,0,93,
00,21.0,西风,1,0,93,
01,20.8,北风,1,0,93,
02,20.6,北风,1,0,94,
03,20.4,西北风,1,0,94,
04,20.0,西风,1,0,94,
05,19.9,东北风,1,0,95,
06,19.9,西北风,1,0,95,
07,20.3,东风,1,0,95,
08,21.3,西北风,1,0,92,
09,23.9,西风,2,0,82,
10,25.5,东风,1,0,65,
11,25.8,西南风,2,0,67,
12,25.1,西南风,2,0,71,
13,25.4,西南风,2,0,72,
14,24.9,西南风,2,0,74,
15,25.0,西南风,2,0,73,
16,24.6,南风,2,0,75,
17,24.9,西南风,2,0,75,
18,24.3,西南风,2,0,76,
19,23.8,南风,2,0,80,
20,23.3,南风,2,0,84,
21,23.9,南风,3,0,80,
