小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,21.6,东南风,1,0,92,
22,21.2,东风,1,0,94,
23,21.0,西北风,1,0,95,
00,20.7,东北风,1,0,94,
01,20.8,西北风,1,0,96,
02,20.4,东风,1,0,96,
03,20.3,北风,1,0,95,
04,20.2,东北风,1,0,96,
05,19.9,东北风,1,0,97,
06,19.8,西北风,1,0,97,
07,20.4,南风,1,0,97,
08,22.1,南风,1,0,88,
09,24.3,东风,1,0,78,
10,25.6,西南风,2,0,73,
11,27.1,南风,2,0,60,
12,27.3,南风,2,0,63,
13,26.8,东南风,2,0,65,
14,26.9,东南风,2,0,63,
15,26.9,东南风,2,0,68,
16,26.6,东南风,2,0,70,
17,26.3,南风,2,0,70,
18,25.9,南风,2,0,71,
19,25.5,东南风,2,0,74,
20,25.4,南风,2,0,73,
21,25.1,南风,2,0,75,
