小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,26.3,东风,3,0,79,
22,26.1,东风,3,0,79,
23,25.8,东风,2,0,80,
00,25.8,东风,3,0,81,
01,25.5,东风,2,0,82,
02,25.3,东风,2,0,82,
03,25.0,东风,2,0,84,
04,24.7,东风,2,0,85,
05,24.6,东风,2,0,85,
06,24.2,东北风,1,0,88,
07,24.7,东北风,1,0,87,
08,26.1,东北风,2,0,83,
09,27.1,东风,3,0,79,
10,27.7,东风,3,0,76,
11,28.0,东风,3,0,76,
12,28.3,东风,3,0,74,
13,29.3,东南风,3,0,72,
14,28.9,东风,4,0,73,
15,28.8,东南风,4,0,73,
16,28.4,东南风,3,0,75,
17,27.6,东风,4,0,79,
18,27.3,东风,3,0,80,
19,26.8,东风,3,0,82,
20,26.6,东风,3,0,83,
21,26.4,东风,2,0,85,
