小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,20.5,北风,1,0,85,
22,20.4,东南风,1,0,86,
23,19.9,西南风,1,0,89,
00,19.6,南风,1,0,91,
01,19.7,东风,0,0,92,
02,19.6,南风,1,0,92,
03,19.6,南风,1,0,94,
04,19.6,南风,1,0,94,
05,19.6,西南风,1,0,95,
06,19.5,西北风,1,0,95,
07,20.1,东南风,1,0,94,
08,21.8,西北风,1,0,84,
09,22.2,西南风,1,0,81,
10,23.3,西北风,1,0,77,
11,25.2,北风,1,0,74,
12,26.7,西风,2,0,65,
13,27.7,西南风,2,0,64,
14,27.4,西南风,2,0,66,
15,27.3,西南风,3,0,67,
16,27.0,西南风,2,0,68,
17,26.5,西风,2,0,72,
18,26.1,西风,2,0,73,
19,25.6,西风,1,0,75,
20,24.7,西南风,2,0,82,
21,24.4,西南风,2,0,83,
