小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,20.8,东南风,2,0,90,
22,20.5,东南风,2,0,91,
23,20.5,东南风,2,0,92,
00,20.4,东南风,1,0,94,
01,20.5,东南风,0,0,94,
02,20.1,东南风,2,0,95,
03,20.2,南风,1,0,94,
04,20.3,东南风,1,0,94,
05,19.7,东南风,1,0,95,
06,19.7,东南风,1,0,95,
07,20.1,西南风,1,0,93,
08,21.0,西南风,1,0,91,
09,22.2,南风,1,0,86,
10,23.1,西风,1,0,81,
11,24.3,西北风,1,0,76,
12,26.1,南风,1,0,73,
13,27.1,南风,3,0,65,
14,26.2,西南风,2,0,71,
15,25.8,西南风,3,0,72,
16,26.1,南风,3,0,73,
17,25.7,南风,3,0,73,
18,25.4,南风,2,0,75,
19,25.1,东南风,2,0,76,
20,24.1,东南风,2,0,84,
21,23.4,东南风,2,0,88,
