小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,21.5,西风,1,0,100,
22,21.4,西北风,1,0,100,
23,21.4,西风,1,0,100,
00,21.3,北风,1,0,100,
01,21.3,西风,2,0,100,
02,21.1,西风,1,0,100,
03,21.0,东风,1,0,100,
04,21.1,北风,0,0,100,
05,21.1,东南风,1,0,100,
06,21.1,南风,1,0,100,
07,21.3,东南风,1,0.2,100,
08,21.6,南风,1,0,100,
09,22.1,东南风,1,0.1,100,
10,22.9,南风,2,0.1,100,
11,23.1,西南风,2,0.1,99,
12,23.7,东南风,1,0,99,
13,24.4,南风,1,0,93,
14,25.9,南风,2,0,85,
15,26.1,南风,2,0,83,
16,28.1,南风,2,0,73,
17,27.4,东南风,2,0,78,
18,26.7,东南风,3,0,79,
19,26.0,南风,2,0,83,
20,25.8,南风,2,0,84,
21,25.7,东南风,3,0,84,
