小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,21.8,东风,1,0,96,
22,21.8,西风,1,0,97,
23,21.9,西风,1,0,97,
00,21.7,西北风,1,0,98,
01,21.7,北风,1,0,98,
02,21.6,南风,0,0,99,
03,21.6,西北风,1,0,98,
04,21.6,东风,1,0,99,
05,21.6,东北风,1,0,98,
06,21.6,西风,0,0,98,
07,21.7,东南风,1,0.4,98,
08,21.9,南风,1,0.7,99,
09,22.4,东北风,1,0,98,
10,23.6,东南风,1,0,93,
11,25.3,东南风,2,0,87,
12,25.2,东南风,2,0,87,
13,24.5,东北风,1,0.2,92,
14,24.5,北风,1,0.1,91,
15,25.4,北风,1,0.1,89,
16,25.6,西北风,1,0,89,
17,25.8,东风,2,0,90,
18,26.7,东南风,2,0,84,
19,26.1,东南风,2,0,85,
20,25.4,东南风,2,0,88,
21,24.7,东风,1,0,93,
