小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,20.2,东风,2,0.3,100,17
22,20.0,东风,2,0,100,17
23,20.1,东风,2,0.1,100,18
00,20.0,东风,2,0,100,20
01,19.9,东北风,1,0,100,25
02,19.8,东北风,2,0,100,24
03,19.7,东风,2,0,100,23
04,19.6,东风,2,0,100,24
05,19.6,东风,2,0,100,24
06,19.6,东风,2,0,100,28
07,19.8,东南风,2,0,100,30
08,20.1,东南风,2,0,100,32
09,20.3,东南风,2,0,100,34
10,20.5,东南风,2,0.4,100,38
11,21.9,南风,2,0,100,38
12,22.1,南风,2,0,96,36
13,22.3,南风,3,0,96,38
14,22.7,南风,2,0.2,97,39
15,23.4,东南风,2,0,97,37
16,24.0,东南风,2,0,93,40
17,24.7,东南风,3,0,89,46
18,24.3,南风,3,0,89,44
19,24.0,南风,3,0,89,42
20,23.8,南风,4,0,91,38
21,23.3,南风,3,0,92,35
