小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,18.7,东北风,2,0.1,100,
22,18.9,东风,2,0,100,
23,19.1,东风,1,0,100,
00,19.2,东风,1,0.1,100,
01,19.2,西南风,1,0,100,
02,19.3,东风,1,0,100,
03,19.4,东风,1,0,100,
04,19.4,东北风,1,0,100,
05,19.4,东风,1,0,100,
06,19.5,东风,1,0,100,
07,19.6,东北风,1,0,100,
08,20.2,东风,1,0,100,
09,20.9,东北风,1,0,97,
10,22.1,西风,1,0,92,
11,23.3,东风,1,0,86,
12,23.7,西南风,1,0,83,
13,23.8,西南风,1,0,86,
14,24.2,北风,2,0,86,
15,24.7,东北风,1,0,86,
16,25.7,西南风,1,0,83,
17,26.4,西南风,2,0,78,
18,26.1,西南风,2,0,79,
19,25.3,南风,2,0,84,
20,24.9,西南风,1,0,86,
21,24.6,西南风,1,0,88,
