小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,24.5,西风,1,0.0,95,
22,22.5,西南风,1,0.0,98,
23,22.3,东南风,1,0.0,99,
00,22.0,东风,0,0.0,99,
01,21.7,南风,1,0.0,99,
02,21.4,北风,1,0.0,99,
03,21.3,东风,0,0.0,99,
04,21.4,西北风,1,0.0,97,
05,21.2,北风,1,0.0,99,
06,21.1,西北风,1,0.0,99,
07,21.6,西风,1,0.0,99,
08,22.2,北风,1,0.0,100,
09,23.3,西风,1,0.0,98,
10,24.5,西风,1,0.0,96,
11,25.5,西风,1,0.0,95,
12,26.6,西风,1,0.0,94,
13,27.0,西风,1,0.0,92,
14,27.1,北风,1,0.0,88,
15,27.1,北风,1,0.0,88,
16,27.2,北风,2,0.0,90,
17,27.0,北风,1,0.0,90,
18,26.6,西风,1,0.0,91,
19,25.5,西风,1,0.0,93,
20,24.5,西风,1,0.0,95,
21,24.5,西风,1,0.0,95,
