小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,23.4,东风,1,0,93,
22,23.4,东风,2,0,87,
23,23.3,东北风,1,0,88,
00,23.2,东北风,1,0,86,
01,22.6,北风,1,0,92,
02,22.5,东北风,1,0,94,
03,22.4,东北风,1,0,94,
04,22.4,东风,1,0,91,
05,22.3,东风,1,0,91,
06,22.0,东北风,1,0,95,
07,22.2,东风,2,0,94,
08,22.8,东风,1,0,92,
09,23.6,东风,1,0,89,
10,24.2,东风,1,0,87,
11,24.9,东风,1,0,85,
12,25.4,东风,2,0,83,
13,26.1,东北风,1,0,81,
14,26.3,东北风,1,0,81,
15,26.5,东风,1,0,81,
16,26.9,东风,2,0,80,
17,26.7,东风,2,0,79,
18,26.6,东风,1,0,82,
19,25.8,东风,2,0,84,
20,25.1,东北风,1,0,87,
21,25.1,东风,2,0,87,
