小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,23.2,东风,2,0,93,
22,23.2,东风,2,0,93,
23,23.2,东南风,1,0,93,
00,22.8,东南风,2,0,96,
01,22.8,西风,1,0,96,
02,22.7,东风,2,0,97,
03,22.5,东南风,1,0,97,
04,22.5,东风,1,0,96,
05,22.5,东南风,1,0,97,
06,22.5,东风,1,0,97,
07,22.6,西风,0,0,97,
08,22.8,东南风,2,0,95,
09,22.9,东风,1,0,95,
10,23.4,东南风,3,0.1,95,
11,23.8,东南风,1,0,94,
12,25.9,东风,2,0,89,
13,26.5,东风,2,0,82,
14,27.6,东风,3,0,76,
15,28.2,东风,2,0,78,
16,29.8,东南风,2,0,70,
17,28.8,南风,3,0,74,
18,28.3,东南风,2,0,76,
19,27.4,东南风,2,0,81,
20,27.1,南风,2,0,83,
21,26.7,东南风,3,0,83,
