小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,25.7,东北风,3,0,92,26
22,24.6,东风,1,3.1,100,30
23,24.6,东风,2,0.4,100,39
00,24.8,东风,2,0,100,38
01,25.2,东南风,2,0,100,24
02,25.8,东南风,4,0,98,32
03,25.6,东南风,4,0.2,100,38
04,25.4,东南风,3,0.6,100,34
05,25.4,东南风,3,1.1,100,36
06,25.6,东南风,3,2.6,100,37
07,25.8,南风,4,0.2,99,41
08,25.7,东南风,3,0.3,100,39
09,22.5,北风,4,26.6,100,32
10,22.2,东北风,2,47.8,100,27
11,22.3,西北风,2,28.2,100,24
12,23.1,南风,2,7.9,100,25
13,25.1,南风,1,0,99,26
14,27.3,南风,2,0,83,28
15,28.5,东南风,2,0,81,29
16,27.7,南风,3,0,87,41
17,27.6,南风,2,0,90,45
18,27.4,南风,3,0,89,44
19,26.8,南风,2,0,96,48
20,26.6,南风,2,0,98,50
21,26.3,南风,2,0,99,41
