小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,31,西风,2,0.0,12,
22,28,西风,2,0.0,17,
23,25,西南风,2,0.0,24,
00,23,西南风,2,0.0,29,
01,24,西南风,3,0.0,26,
02,23,西南风,2,0.0,29,
03,23,西南风,2,0.0,29,
04,21,西南风,1,0.0,30,
05,21,西风,2,0.0,28,
06,21,西风,2,0.0,28,
07,18,西风,2,0.0,34,
08,19,西风,2,0.0,34,
09,22,北风,2,0.0,31,
10,24,西风,2,0.0,21,
11,26,北风,3,0.0,18,
12,27,北风,3,0.0,19,
13,27,北风,3,0.0,19,
14,31,北风,3,0.0,18,
15,32,北风,3,0.0,17,
16,33,西风,3,0.0,16,
17,34,北风,3,0.0,15,
18,34,北风,2,0.0,16,
19,35,北风,1,0.0,16,
20,35,东北风,1,0.0,15,
21,33,东北风,1,0.0,21,
