小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,28.0,西南风,2,0.0,19,
23,23.2,西南风,1,0.0,40,
00,23.0,西南风,0,0.0,39,
01,21.4,南风,1,0.0,43,
02,20.8,东南风,0,0.0,42,
03,20.1,东南风,1,0.0,46,
04,21.8,西风,2,0.0,35,
05,20.9,西南风,1,0.0,35,
06,21.7,南风,1,0.0,30,
07,21.1,东南风,1,0.0,35,
08,20.2,东北风,1,0.0,39,
09,20.2,南风,0,0.0,44,
10,23.0,北风,1,0.0,39,
11,24.6,北风,1,0.0,27,
12,25.6,西北风,2,0.0,27,
13,25.9,西北风,1,0.0,26,
14,27.2,西风,1,0.0,28,
15,27.2,西风,1,0.0,28,
16,28.3,西北风,1,0.0,27,
17,29.1,西南风,1,0.0,25,
18,29.0,西风,2,0.0,24,
19,29.1,西南风,2,0.0,23,
20,28.7,西南风,3,0.0,20,
21,28.0,西南风,2,0.0,19,
22,28.0,西南风,2,0.0,19,
