小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,19.2,东风,2,0,41,
22,18.3,东风,2,0,43,
23,18.5,东风,3,0,41,
00,15.7,东北风,2,0,51,
01,14.1,东北风,1,0,66,
02,12.7,东风,2,0,70,
03,11.2,东北风,1,0,83,
04,11.8,北风,1,0,69,
05,10.6,东风,2,0,76,
06,10.3,东风,1,0,78,
07,13.7,东风,2,0,53,
08,15.9,东风,2,0,49,
09,17.5,东南风,2,0,45,
10,19.3,东风,3,0,39,
11,22.3,东南风,2,0,35,
12,24.4,东南风,2,0,26,
13,25.8,西风,1,0,22,
14,26.9,西南风,2,0,19,
15,27.4,东风,2,0,16,
16,28.3,东北风,2,0,14,
17,28.9,西风,2,0,14,
18,29.2,西南风,2,0,12,
19,29.1,西风,2,0,12,
20,27.7,西风,2,0,15,
21,23.2,西风,1,0,30,
