小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,27.0,东风,4,0,20,
22,24.1,南风,4,0,17,
23,21.4,南风,4,0,24,
00,17.8,南风,2,0,29,
01,14.1,西南风,2,0,33,
02,16.1,西南风,3,0,23,
03,16.9,西南风,3,0,18,
04,15.3,西南风,2,0,25,
05,13.5,西南风,3,0,30,
06,14.9,西南风,2,0,28,
07,12.9,西南风,2,0,35,
08,15.4,西南风,2,0,35,
09,20.2,南风,1,0,34,
10,23.3,西北风,1,0,29,
11,25.0,西风,2,0,17,
12,26.9,西北风,1,0,15,
13,27.9,北风,2,0,20,
14,29.4,北风,2,0,16,
15,29.7,北风,2,0,14,
16,31.4,西北风,2,0,14,
17,32.2,北风,2,0,14,
18,32.6,北风,2,0,14,
19,33.2,东南风,2,0,13,
20,32.1,东南风,2,0,16,
21,29.7,东风,3,0,16,
