小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,29.3,北风,2,0,13,
22,25.5,东北风,5,0,22,
23,23.6,东风,5,0,25,
00,23.2,东北风,4,0,24,
01,23.5,东风,3,0,22,
02,23.9,东北风,3,0,21,
03,23.8,东北风,3,0,22,
04,20.5,东北风,2,0,28,
05,19.2,东北风,2,0,30,
06,18.6,东北风,2,0,31,
07,17.7,东北风,2,0,34,
08,17.4,北风,2,0,33,
09,18.8,东北风,2,0,30,
10,21.8,东风,3,0,23,
11,23.9,东风,4,0,16,
12,25.7,东北风,4,0,15,
13,27.4,东风,4,0,12,
14,28.4,东北风,4,0,9,
15,29.5,东北风,4,0,7,
16,29.8,东北风,4,0,5,
17,29.6,东北风,4,0,5,
18,29.5,东北风,4,0,6,
19,29.0,东北风,4,0,6,
20,27.8,东北风,4,0,7,
21,26.2,东北风,4,0,6,
