小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,23,西北风,2,0.0,12,
22,21,东南风,1,0.0,16,
23,20,北风,1,0.0,17,
00,19,西南风,1,0.0,19,
01,18,北风,1,0.0,16,
02,16,西南风,1,0.0,20,
03,16,西南风,1,0.0,20,
04,13,西南风,2,0.0,28,
05,14,西南风,2,0.0,23,
06,14,西南风,2,0.0,23,
07,13,南风,2,0.0,22,
08,13,西南风,1,0.0,20,
09,17,西南风,1,0.0,15,
10,19,北风,1,0.0,13,
11,20,西北风,1,0.0,13,
12,22,西北风,3,0.0,15,
13,22,西北风,3,0.0,15,
14,23,西风,2,0.0,12,
15,24,西北风,2,0.0,12,
16,24,西风,2,0.0,13,
17,25,西风,2,0.0,12,
18,25,西风,2,0.0,14,
19,25,西风,2,0.0,14,
20,24,西风,2,0.0,16,
21,23,西北风,2,0.0,16,
